,Process Number,Area,Date of Judgement,Type of Judgement,Descriptors,Main Judgement,Full Judgement Link
10,Processo nº:  17085/15.8T8 LSB.L1.S2,CÍVEL,12 de novembro de 2019,Acórdão,"Revista excepcional, Revista excecional, Formação de apreciação preliminar, Recurso de revista, Admissibilidade de recurso, Competência do relator, Direito de preferência, Questão nova","I - A Formação admitiu a revista excepcional, com fundamento na al. a) do n.º 1 do art. 672.º do CPC, relativamente à questão referida pelo recorrente nas suas alegações da (in)existência do direito de preferência dos arrendatários de partes de prédios não constituídos em regime de propriedade horizontal.  II - A decisão da Formação não pode ultrapassar a barreira de que o recurso se destina a impugnar as decisões da sentença ou acórdão recorrido e não a apreciar, nessa sede, questões não suscitadas pelas partes ou que não sejam de conhecimento oficioso e que não foram tratadas na decisão recorrida, surgindo, por isso, como questões novas.  III - Proferida a decisão da Formação no sentido da admissibilidade do recurso, nesta estrita formulação, compete ora ao relator exercer as funções que lhe são atribuídas pelo art. 652.º, ex vi do art. 679.º, ambos do CPC, designadamente a de verificar se alguma circunstância obsta ao conhecimento do recurso (al. b) do n.º 1).  IV - Com efeito, verifica-se do próprio enunciado da petição que o direito de preferência só foi controvertido quanto à intenção da terceira ré de o exercer de facto e quanto à sua extinção por caducidade, nunca tendo sido objecto de apreciação na 1.ª instância, nem tinha que ser oficiosamente a referida questão da existência do direito, uma vez que nessa parte não havia desacordo entre as partes, o administrador da insolvência notificara a 3.ª ré para o exercer e não resulta patente da matéria de facto que o mesmo não existisse, no caso.  V - Apenas tendo sido suscitada pelo autor no recurso de apelação a questão da existência do direito, tendo a Relação considerado, e bem, que não fora tal questão tratada no recurso e, por isso, não havia que conhecer dela, a mesma não pode fundar uma apreciação em sede de revista.",https://www.direitoemdia.pt/search/show/3532cc8d71dad4ce78b1b928ef0d109da2036fc4ef7204fc013a69c88a905cb4
11,Processo nº:  4669/13.8TBFUN-C.L1.S1,CÍVEL,12 de novembro de 2019,Acórdão,"Insolvência, Contrato-promessa, Verificação de créditos, Falta de resposta à impugnação"," Na hipótese de falta de resposta à impugnação da lista provisória de créditos, prevista no artigo 131.º, n.º 3, do CIRE, são necessariamente admitidos os factos alegados na impugnação, mas o juiz não fica dispensado de proceder às diligências necessárias e adequadas à verificação do crédito, nos termos do artigo 136.º do CIRE.",https://www.direitoemdia.pt/search/show/3532cc8d71dad4ce78b1b928ef0d109da2036fc4ef7204fc013a69c88a905cb4
12,Processo nº:  537/14.4T8FAR.E1.S1,CÍVEL,12 de novembro de 2019,Acórdão,"Processo de inventário, Avaliação de bens, Conferência de interessados, Relação de bens, Reclamações","I Resulta do artigo 2109º, nº1 do CCivil que o valor dos bens doados é o que os mesmos tiverem à data da abertura da sucessão, mas se sobrevier um valor superior do bem por via de uma avaliação requerida por algum dos interessado é este o valor a ter em conta a não ser que os demais interessados o contestem, e se o contestarem esse valor nunca poderá ser tomado em atenção para efeitos de partilha, sem mais. II Este regime específico do processo de inventário não se coaduna com o regime geral das avaliações, nomeadamente, quanto à necessidade de requerer uma segunda avaliação no prazo de dez dias a contar da notificação do resultado da primeira avaliação, nos termos dos dispositivos aludidos nos artigos 589º a 591º do CPCivil, o que significa que a decisão que indeferiu, sem mais, aquela diligência, não se pode manter. III Tendo em atenção o disposto no artigo 1353º, nº4, alínea a) do CPCivil na redacção dada pelo DL 227/94, de 8 de Setembro aqui aplicável, é à conferência de interessados que compete deliberar das reclamações deduzidas sobre o valor atribuído aos bens relacionados e sobre a aprovação do passivo e forma de cumprimento dos legados e demais encargos da herança. IV Em tema de processo de inventário há lugar a uma segunda avaliação quando os interessados, na conferência, não acordem no valor a atribuir aos bens e requeiram a sua efectivação:  este regime específico do processo de inventário não se coaduna com o regime geral das avaliações, nomeadamente, quanto à necessidade de requerer uma segunda avaliação no prazo de dez dias a contar da notificação do resultado da primeira avaliação, nos termos dos dispositivos aludidos nos artigos 589º a 591º do CPCivil. V Não impondo a Lei qualquer prazo para a reclamação da omissão de bens, poderá  a mesma ter lugar até ao trânsito em julgado da sentença homologatória da partilha. (APB).",https://www.direitoemdia.pt/search/show/54d732f8211ef187ff33df218a8a672253951d25001e9ae572713d9307c6596d
13,Processo nº:  958/07.9TBCVLC1.S1,CÍVEL,12 de novembro de 2019,Acórdão,"Arrendamento rural, Benfeitorias úteis","Quando as benfeitorias úteis não possam ser levantadas sem detrimento do prédio tem o arrendatário o direito de ser compensado por tais benfeitorias de acordo com as regras do enriquecimento sem causa (artigo 1273.º, n.º 2, do CC).",https://www.direitoemdia.pt/search/show/54d732f8211ef187ff33df218a8a672253951d25001e9ae572713d9307c6596d
14,Processo nº:  21768/16.7T8PRT.P1.S1,CÍVEL,12 de novembro de 2019,Acórdão,"Impugnação de paternidade, Investigação da paternidade, Paternidade biológica, Filiação, Princípio da proporcionalidade, Abuso do direito"," I - A ação de impugnação da paternidade estabelecida por reconhecimento (perfilhação) não está sujeita a qualquer prazo, é imprescritível. II - Estando a paternidade deferida registralmente ao perfilhante, não podia o filho fazer investigar, sem afastar previamente a filiação constante do registo (registo inibitório), a sua paternidade biológica. III - Neste caso, a ação de investigação da paternidade podia ser proposta nos três anos seguintes ao cancelamento do registo inibitório, cancelamento esse obtido através da procedência da ação de impugnação da paternidade registada. IV - O abuso do direito só existe em casos verdadeiramente excecionais, em casos de gritantes, ofensivos do sentimento ético-jurídico dominante, clamorosamente opostos aos ditames da lealdade e da correção imperantes na ordem jurídica e nas relações sociais. V - A desproporção entre a vantagem do titular e o sacrifício por este imposto a outrem só releva, em sede de abuso do direito, quando existe uma grande vantagem para uma pessoa à custa de outra e isso sem que se apresente uma especial justificação para tanto; deverá haver uma desconexão (uma desproporção) entre as situações sociais típicas prefiguradas pelas normas jurídicas que atribuem direitos e o resultado prático do exercício desses direitos. VI – Não existe abuso do direito com referência aos pressupostos constantes dos pontos IV e V naquela situação em que o filho propõe ação tendente a impugnar a perfilhação e a reconhecer a paternidade biológica cerca de quatro anos depois de saber quem era o seu pai.",https://www.direitoemdia.pt/search/show/f75a9262cf4631d641cd34f38fdc7dd4e616d67200bbf8ae2a310666259cd10a
15,Processo nº:  8927/18.7T8LSB-A.L1.S1,CÍVEL,12 de novembro de 2019,Acórdão,"Convenção de arbitragem, Interpretação da declaração negocial, Preterição do tribunal arbitral, Exceção dilatória, Princípio do acesso ao direito e aos tribunais, Apoio judiciário","I. A convenção de arbitragem está submetida às regras gerais de interpretação do negócio jurídico. A convenção vale com o sentido que um declaratário normal, colocado na posição do real declaratário, possa deduzir do comportamento do declarante, salvo se este não puder razoavelmente contar com ele; e, sendo um negócio formal, não pode valer com um sentido que não tenha um mínimo de correspondência no texto do respetivo documento (artigos 236º, 238º do Código Civil e 2º, nº1. da LAV. II. No caso presente, quando a convenção refere que se pode recorrer à arbitragem, após a inviabilidade de uma solução amigável, está a referir-se à possibilidade de qualquer das partes se socorrer da via litigiosa, com a constituição de um tribunal arbitral, e não à possibilidade de uma alternativa ao tribunal estadual. III. Face ao princípio consagrado no artigo 18º, nº1, da LAV, segundo o qual incumbe ao tribunal arbitral pronunciar-se sobre a sua própria competência, apreciando para tal os pressupostos que a condicionam – validade, eficácia e aplicabilidade ao litígio da convenção de arbitragem -, os tribunais judiciais só devem rejeitar a exceção dilatória de preterição de tribunal arbitral, deduzida por uma das partes, determinando o prosseguimento do processo perante a jurisdição estadual, quando seja manifesto e incontroverso que a convenção/cláusula compromissória invocada é inválida, ineficaz ou inexequível ou que o litígio, de forma ostensiva, se não situa no respetivo âmbito de aplicação. IV. A insuficiência económica superveniente, e sem culpa, da parte para custear as despesas com a convenção de arbitragem, fará com que a exceção de preterição de tribunal arbitral não se lhe possa opor, porquanto conduziria a uma situação de denegação de justiça (e de acesso aos tribunais) e à consequente violação do disposto no artigo 20º, nº1, da CRP. V. A mera concessão de apoio judiciário, na modalidade de dispensa de taxa de justiça e demais encargos com o processo, sem qualquer outra alegação de insuficiência económica superveniente e sem culpa da parte, não é suficiente para afastar a procedência da exceção de preterição do tribunal arbitral.",https://www.direitoemdia.pt/search/show/f75a9262cf4631d641cd34f38fdc7dd4e616d67200bbf8ae2a310666259cd10a
16,Processo nº:  468/15.0T8PDL.L1.S1,CÍVEL,12 de novembro de 2019,Acórdão,"Danos futuros, Cálculo da indemnização, Equidade","I - Estando em causa danos futuros (despesas a suportar com a assistência de terceira pessoa durante 42 anos) cujo valor exato não é passível de fixação, atentas as especificidades e vicissitudes que lhe são próprias, tal valor só pode ser fixado com recurso à equidade e dentro dos limites objetivos que foram dados como provados – nos termos do disposto no n.º 3 do art. 566.º do CC, que não através de tabelas matemáticas, cuja utilização apenas pode ter lugar como mero auxiliar.  II - Para além da imprevisibilidade da variação da taxa de rentabilidade, atento o período temporal a considerar (42 anos), há que ter em conta o expectável aumento das despesas a suportar nesse período, sendo expectável que vá, e a breve trecho, além dos € 750,00 mensais que foram considerados pela Relação.  III - Perante tais elementos, e com recurso à equidade, afigura-se correto e ajustado dever proceder-se a uma dedução, para compensar o recebimento antecipado do capital, situada à volta dos 10%.",https://www.direitoemdia.pt/search/show/56de49c2873c539873ffb54fa3a0d8b13c9240ceeeaafcdb11becce13ff8ad28
17,Processo nº: 2449/15.5T8PDL.L1.S1,CÍVEL,7 de novembro de 2019,Acórdão,"Recurso de revista, Dupla conforme, Fundamentação, Alteração dos factos, Rejeição de recurso","I. Para efeitos de aferição da conformidade ou da desconformidade decisória, não pode ser atribuído significado a alterações irrelevantes e sem reflexo na decisão final, sob pena de, no caso contrário, o disposto no artigo 671.º, n.º 3, do CPC ficar destituído da sua função substancial (que é a de efectuar a selecção dos casos em que é justificado o acesso ao terceiro grau de jurisdição). II. A alteração de um único ponto da decisão sobre a matéria de facto que visa precisar ou explicitar o teor de um facto provado e não tem reflexo na decisão não é apta a descaracterizar a dupla conformidade, verificando-se, da mesma forma, este bloqueio recursório.",https://www.direitoemdia.pt/search/show/56de49c2873c539873ffb54fa3a0d8b13c9240ceeeaafcdb11becce13ff8ad28
18,Processo nº:  3113/17.6T8VCT.G1.S1,CÍVEL,7 de novembro de 2019,Acórdão,"Recurso de apelação, Admissibilidade de recurso, Alegações de recurso, Conclusões, Convite ao aperfeiçoamento","I.     Compulsado o recurso de apelação da autora constata-se: (i) que o teor das respectivas conclusões se encontra dividido em 96 pontos enquanto o corpo das alegações se encontra organizado em 121 artigos; (ii) que o teor das conclusões ainda que muito próximo do teor do corpo das alegações, não coincide inteiramente com ele. II.     Bastariam tais dados para se reconhecer que a apelação da autora não é omissa em conclusões e que, quando muito, ajuizando tais conclusões como sendo complexas ou prolixas, devia o tribunal ter formulado convite ao seu aperfeiçoamento. III.   A resposta teria de ser a mesma ainda que se entendesse que o texto das conclusões recursórias constitui a repetição (quase) integral do texto da alegação propriamente dita; com efeito, a orientação da jurisprudência consolidada do STJ é no sentido de que a circunstância de, em sede de conclusões, o recorrente reproduzir a motivação constante da alegação propriamente dita não configura um caso de falta de conclusões, não podendo, por isso, o recurso ser rejeitado de imediato, antes devendo ser proferido despacho convidando ao aperfeiçoamento, com fundamento na apresentação de conclusões complexas ou prolixas.",https://www.direitoemdia.pt/search/show/bc29aaf7f644882ebc2f81e29d5b71095772504fa94f162b53b3b269a7358fb9
19,Processo nº:  30202/16.1YIPRT.L1.S1,CÍVEL,7 de novembro de 2019,Acórdão,"Oposição entre os fundamentos e a decisão, Nulidade da decisão, Pedido, Causa de pedir, Enriquecimento sem causa, Ónus da prova","I. A alegação de uma contradição entre os factos provados e a decisão consubstancia a alegação de um erro de julgamento e não da oposição (incompatibilidade lógica) entre os fundamentos e a decisão que é pressuposto da nulidade prevista no artigo 615.º, n.º 1, al. c), 1.ª parte, do CPC.  II. Em fórmula simples, o pedido ou a pretensão é o efeito jurídico visado pela parte e a causa de pedir é o facto ou conjunto de factos jurídicos de que procede aquele pedido / aquela pretensão. III. Não tendo a parte exercido o ónus da prova dos factos jurídicos que sustentam o seu pedido, não pode a acção resolver-se a seu favor (cfr. artigo 342.º, n.º 1, do CC e artigo 414.º do CPC).",https://www.direitoemdia.pt/search/show/bc29aaf7f644882ebc2f81e29d5b71095772504fa94f162b53b3b269a7358fb9
